,No.,Nombre común,Common name,,Nombre científico,Forma biológica/ Tipo de crecimiento,,Medidas (m),,,Follaje,,,Floración,,,Fruto (maduro),,,Tronco o tallo,,Hábitat,,Agua,Tasa de crecimiento,Persistencia de la hoja,Distribución Natural,Ecología,Usos,Observaciones,Mantenimiento general,,,,,,,,,,
,R,"Jito, palo jito, palo San Juan",Lollipop tree,Capparaceae,Forchhammeria watsonii,Árbol pequeño,Redondeado,Hasta 7.00 m,Hasta 6 m,0.30 - 1.00 m,"Las hojas son simples (trifoliadas en algunas ocasiones), de consistencia coriácea, con forma lanceolada, pueden poseer pecíolos cortos o ser sésiles. ",Revoluto,Verde oscuro en el haz y verde pálido en el envés,Sin pétalos obvios. Muy pequeña,"Masculinas: amarillas, femeninas: café","Marzo-Abril (puede presentarse una floración tardía a finales de otoño, en los meses de octubre-noviembre)",Drupa sésiles ligeramente ovoides,"De coloración verde amarillento cuando están inmaduros, cuando estos maduran se tornan púrpura y posteriormente a naranja rojizo",Mayo-Julio (puede presentar una fructificación a principios de invierno),Gris pálido,Lisa,"Áreas moderadamente secas a secas, planicies y valles.",Pleno sol,Bajo,Lento ,Perennifolio,"F. watsonii es una especie endémica de zonas áridas del noroeste de México, localizada en los Estados de Sonora, Sinaloa y Baja California Sur.","Fuente de alimento para especies frugívoras, especiealmente aves. Es aprovechado como especie nodriza por gran cantidad de organismos de flora y fauna, debido a que posee un denso follaje que brinda sombra la mayor parte del año.","Ornamental, sombra, hogar para vida silvestre. En el ámbito científico, posee actividad antifúngica contra Aspergillus niger y Aspergillus flavus, así como actividad antibacteriana contra Staphylococcus aureus y Streptococcus pyogenes. Es de gran importancia cultural para algunas etnias de la región, ya que es considerado como un árbol sagrado por la etnia Mayo y junto con la etnia Seri utiliza sus frutos como alimento ","En el folclore regional, se dice que: a su sombra se recomienda descansar, reflexionar y tomar sabias decisiones, mas si te duermes, los espíritus que moran en su copa te roban la razón. ",Es bastante resistente en condiciones duras que pueden causar estrés o la muerte en otras plantas. ,Solo para dar forma,"2 veces al mes, sin ahogar, suelo bien drenado",No requiere,Información no disponible,"Cercidium praecox, Opuntia thurberi, Lycium sp. and Stenocereus thurberi, Guaiacum coulteri, F. watsonii, Vallesia glabra, Phaulothamnus spinecens, Prosopis velutina, Parkinsonia preacox Olneya tesota y Parkinsonia microphylla)",Semillas,"Se recomienda el trasplante cuando la raiz tome forma, mantener un suelo no muy compacto para mayor facilidad a la hora de extraer la plántula, una vez establecida regar frecuentemente sin ahogar",Profunda,-,
,,http://wildflowersearch.org/search?&tsn=Forchhammeria_watsonii,file:///C:/Users/Biblio/Downloads/Tesis%20Laura%20Arvizu%20(1).pdf,https://scholarship.claremont.edu/cgi/viewcontent.cgi?referer=https://www.google.com.mx/&httpsredir=1&article=1122&context=aliso,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=710,file:///C:/Users/Biblio/Downloads/epdf.tips_mayo-ethnobotany-land-history-and-traditional-know.pdf,https://herbariovaa.org/collections/individual/index.php?occid=2452106,https://www.tjpr.org/vol13_no9/2014_13_9_15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,"Olivo negro, árbol del pan",Black olive,Combretaceae,Bucida buceras (Terminalia buceras),Arbol mediano,Globosa,8.00 - 27.00 m,14.00 m,1.5,Simples ovaladas,Entero,Verde brillante,Espigas,Blanco-verduzco,Diciembre-Junio,Drupa,Azul,Julio-Septiembre,Cafe claro,Liso,"Bosque tropical caducifolio, bosque tropical subperennifolio, bosque espinoso",Sombra parcial,Moderado,Lento-Moderado,Semicaducifolio,"Bahamas, Cuba, Guadeloupe, Haiti, Jamaica, Puerto Rico","Hogar de vida silvestre, las flores pueden atraer insectos, parte de las redes tróficas","La madera se usa en la construcción, muebles, postes, leña; se produce carbón de buena calidad",Solo es caducifolio en zonas muy secas,"Durante los primeros 2 años de haber establecido la plantación se recomienda realizar deshierbes alrededor de las plantas, en un radio de 20 cm alrededor de la cepa, por lo menos 1 vez al año; esto preferentemente una o dos semanas posterior al inicio de la temporada lluviosa","No se requiere ninguna, remoción de tallos a la tierra y para dar forma",Poco,"Es recomendable aplicar fertilizantes foliares, 20-20-20 (N-P-K), cada 15 días durante 3 ocasiones. También se puede aplicar fertilizante sólido en forma de pastillas, picomódulos de liberación prolongada 30-15-10","Las tuzas, Orthogeomyces hispidus, devoran las raíces y pueden llegar a acabar con una plantación",Los árboles rodeados densamente de gramíneas se ven fácilmente exterminados o dañados por los incendios periódicos que arrasan el hábitat seco.,Acodos y semillas,"Se deben utilizar vehículos cerrados y trasladar las plantas debidamente cubiertas, para protegerlas del viento e insolación, y con ello evitar su deshidratación Con la finalidad de evitar que la planta sufra el menor estrés posible, idealmente el tiempo de
transporte no debe exceder a 3 horas.",Superficial,-,
,https://catalogofloravalleaburra.eia.edu.co/species/19,https://catalogofloravalleaburra.eia.edu.co/species/19,https://www.biodiversidad.gob.mx/Difusion/cienciaCiudadana/aurbanos/ficha.php?item=Bucida%20buceras,"Francis, John K. 1989. Bucida buceras L. Ucar. SO-ITF-SM-18. New Orleans, LA: U.S. Department of Agriculture, Forest Service, Southern Forest Experiment Station",http://www.jardinosa.com.mx/Ciriam.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Palo santo, palo del muerto, casahuate blanco, árbol de la mañana",Tree morning glory,Convolvulaceae (forma de campana/embudo),Ipomoea arborescens,Árbol ,Extendida,8.00 - 12.00 m,4.00-8.00 m,Hasta 0.5 m,"Simples, ovadas, textura lisa ",Entero,Verde oscuro,"Corola infundibuliforme, monopétalas,  disposición solitaria",Blanco,Nov - Abr (después de que las hojas caen),Cápsula con varias valvas,Café,Diciembre-febrero,Gris claro,Liso,"Laderas de montañas áridas y cauces de arroyos. Chaparral y bosque tropical caducifolio, 50 - 2200 m",Pleno sol,Bajo a moderado en verano,Rápido (2-3 metros por año),Semicaducifolio (en temporada seca),"Pacífico mexicano, Sonora y el sur de Chihuahua, hasta Veracruz y Oaxaca","Las flores son fuente de néctar del murciélago magueyero menor, de colibríes, y abejas.
Petalos caídos son alimento de vida silvestre (p.ej. de ungulados).
","Se ha utilizado por los Guarijíos y Mayos como remedio para mordedura de serpiente, ademas de aliviar el dolor asociado con la picadura de escorpion, y tratar el dolor de muela.
Árbol de acento en paisajismo.","1. Las semillas son tóxicas, 2. las flores, generalmente, aparecen antes que las hojas",Pueden vivir en casi cualquier tipo de suelo ya sea arcilloso o arenoso pero prefieren que estén bien drenados y contengan materia orgánica.,Pueden podarse tras la floración para eliminar flores y hojas marchitas y controlar su crecimiento.,"Frecuentemente, de tal forma que la tierra nunca se seque por completo a razón de 2-3 veces por semana en verano, 1-2 en primavera y otoño y 1 vez a la semana en invierno.","Fertilización semanal al 2%. Abonar, a principios de la primavera, con un ligero aporte de compost.",Fusarium oxysporum produce pudrición del tallo (en presencia de humedad). Tambien pueden ser atacadas por la araña roja.,"Se mezclan bien con otras plantas del desierto, como los cactus de tamaño medio y otras suculentas.","Semilla, esquejes de tallo leñoso","Se recomienda el trasplante cuando la raiz tome forma, mantener un suelo no muy compacto para mayor facilidad a la hora de extraer la plántula, una vez establecida regar frecuentemente sin ahogar.",Medianamente profundas: Tuberosa (raíz suculenta parecida a un tubérculo).,-,
,, http://homeguides.sfgate.com/use-ipomoea-arborescens-landscaping-52265.html,http://www.elpedregalmexico.com/uploads/pdf%20files/El%20Pedregal%20Tree%20List.pdf,http://swbiodiversity.org/seinet/taxa/index.php?taxon=31252,http://www.medicinatradicionalmexicana.unam.mx/monografia.php?l=3&t=&id=7905,http://www.conabio.gob.mx/malezasdemexico/convolvulaceae/ipomoea-indica/fichas/ficha.htm,,http://homeguides.sfgate.com/use-ipomoea-arborescens-landscaping-52265.html,https://davesgarden.com/guides/pf/go/32167/#b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Papelío, copalillo, sangrengado, jiotillo","Papelío, tree limberbush",Euphorbiaceae,Jatropha cordata,Arbusto o árbol ,Ovalado,"3.00 - 6.00
Hasta 10.00 m",2.00-8.00 m,0.5 m,"Simples, peciolo alargado",Dentado u ondulado,Verde brilloso,"Flor con forma de embudo ( estigma capitado (globoso), frecuentemente con dos mitades o ligeramente trilobado)",Blanco a rosa,Junio - Septiembre,Ovoide,Verde,Marzo-junio,Amarillento-dorado a rojo pálido. Verde debajo de las escamas.,Exfoliante,"Pendientes, planicies y valles, matorral xerófilo, matorral espinoso, selva baja caducifolia y elevaciones bajas de bosque de encino (9). Clima cálido a subtropical. Pendientes volcánicas y mesetas, 50.00- 1000.00 m.",Pleno sol,Bajo a moderado.,Moderada ,Caducifolio en época seca,"Montañas de Baja California, Sonora, sur de Chihuahua, Sinaloa y Jalisco","Se le considera especie nodriza para otras especies vegetales, además es una fuente de alimento importante para la fauna local por el alto contenido de aceite en sus semillas.","Las hojas magulladas se pueden aplicar a llagas o úlceras en la piel. Éstas también se usan como cataplasma para el dolor de ojos.
Las cortezas suelen ser utilizadas como un jabón que desprende aroma, además de
ser atractivo para uso artesanal de algunas comunidades indígenas;  la
planta suele ser usada por los indios yaquis y mayos para formar una
famosa artesanía llamada “pascola”, también se emplea por su madera
blanda para hacer objetos característicos en danzas ceremoniales (10).","Tolera humedad regular. Ornamental, formador y restaurador de suelos. Plantar en cepas de 60 x 60 cm, a una distancia de 7 m entre cada planta.","Procurar dar buen drenaje, e incorporar ácidos húmicos y materia orgánica.","Cortar las ramas más bajas en los primeros 6 meses, para promover el crecimiento y producción de flores debe cortar todas las ramas bajas en época de inactividad después del 2do año","Regar de forma moderada a razón de una vez cada 10 días en primavera y verano, una vez al mes en otoño y en invierno cesar los riegos pues la planta entra en reposo.",Abonar mensualmente con un fertilizante para cactus durante la primavera y el verano.,Pueden ser atacadas por cochinillas lanosas y por cochinillas planas o sufrir pudrimiento de las raíces si nos excedemos con el riego. Tambien pueden ser atacadas por la araña roja,"Hace un hermoso contraste con Guayacán (Guaiacum coulteri), así como con Fouquieria fasciculata","Semillas, esquejes, cultivo tisular","1.Transplantar preferentemente en primavera (marzo-junio) para un mejor resultado, 2. Riegue la jatrofa todos los días durante dos o tres días antes de que ocurra el trasplante, 3.Amarre las ramas de la jatrofa antes de comenzar el proceso de trasplante. Esto evitará las lesiones sufridas durante el proceso de excavación, el transporte del árbol al nuevo sitio de plantación y la plantación en su nueva ubicación.","Profundas: Raiz pivotante, carnosa",-,
,," Sonoran Desert Plants: An Ecological Atlas
 By Raymond M. Turner, Janice Emily Bowers, Tony L. Burgess",http://www.epistemus.uson.mx/revistas/articulos/19-Jatrophas.pdf,http://bibdigital.rjb.csic.es/PDF/Adumb_73.pdf,http://www.consultaplantas.com/index.php/plantas-por-nombre/plantas-de-la-d-a-la-l/455-cuidados-de-la-planta-jatropha-podagrica-jatrofa-o-capa-de-rey,https://www.gardenguides.com/109956-transplant-jatropha-trees.html,,http://sistemanodalsinaloa.gob.mx/archivoscomprobatorios/_15_memoriaextenso/4949.pdf,http://homeguides.sfgate.com/jatropha-propagation-22162.html,http://homeguides.sfgate.com/trim-jatropha-44343.html,"9. The Trees of Sonora, Mexico. Felger.",10. https://www.researchgate.net/profile/Luis_Angel_Medina-Juarez/publication/299286214_ESTUDIOS_QUIMICOS_Y_MOLECULARES_DE_JATROPHAS_DE_SONORA_COMO_FUENTE_POTENCIAL_DE_ACEITES_RESUMEN/links/56f05d6108ae584badc932d4/ESTUDIOS-QUIMICOS-Y-MOLECULARES-DE-JATROPHAS-DE-SONORA-COMO-FUENTE-POTENCIAL-DE-ACEITES-RESUMEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Cucharito, cubata",Cubata,Fabaceae,Acacia cochliacantha (Vachellia campeachiana),Arbusto grande o árbol pequeño,Irregular,Hasta 4.5 m,Hasta 5.00 m,0.10-0.20 m,"Compuestas: bipinnadas, paripinnadas",Foliolo con margen entero,Verde oscuro,Globosa,Amarillo,Marzo-Junio,Vainas aplanadas de 10 cm de largo,Marrón oscuro,Abril-Agosto,Marrón claro a verdoso,Rugoso. Presenta  lenticelas y espinas ,"Se encuentra en lugares con clima cálido, entre los 240 y los 1300 msnm. Asociada al bosque tropical caducifolio y al matorral xerófilo.",Pleno sol,Bajo,Lento a moderado,Caducifolio,Originario de México,"Esta especie tiene la capacidad de regenerarse en campos de pastoreo de ganado dominados por zacate Buffel (Pennisetum
ciliare). De hecho, si no se controla en esos casos, esta especie reduce la capacidad de regeneración de otras especies nativas.",Ornamental,Se puede establecer en pastizales de pastoreo abandonados y deteriorados. Tiene baja tolerancia a estar expuesta a encharcamientos.,"Precaución: Utilice guantes para protegerse de las espinas, así como tijeras o cizalla para un mejor manejo de las ramas.","Para dar forma, cuando requiere reforzar el crecimiento",Poco. Dos o tres veces al mes.,Fertilización química u orgánica.,Puede presentar pudrición de las raices por exceso de agua.,"Prosopis sp., Parkinsonia sp., cactaceas","Semillas, estacas","Las plántulas se encuentran listas para su repique o trasplante una semana posterior a la germinación. Se puede usar una variedad de sistemas de producción para lograr plántulas bien desarrolladas, a saber: bolsa plástica, contenedores, raíz desnuda, paper pot, pseudoestaca, estaca y jiffy. ",Profundas.,-,
,,https://www.naturalista.mx/taxa/276419-Acacia-cochliacantha,https://www.desertmuseum.org/programs/alamos_trees_acacoc.php,file:///C:/Users/Biblio/Downloads/Dialnet-ArbolesDelValleCentralDeCostaRica-5123340.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,"Huizache, vinorama, aroma, colita, corteza de curtidora, espina divina o sagrada, espino blanco, guizache, maroma, pedo de burro",Sweet acacia,Fabaceae,Acacia farnesiana (Vachellia farnesiana),Arbusto o arbol,Redondeada,1.00-2.00 m arbustivo ó 3.00-10.00 m arbórea,1.00-2.00 m,Hasta 0.4 m Dap,Compuestas,Foliolos enteros,Verde claro,"Cabezuelas, globosas",Amarillo," Florece durante todo el año, especialmente de (noviembre) diciembre a mayo. En Chamela, Jalisco, florece de diciembre a marzo; en Guerrero de julio a marzo.
","Vaina sola o agrupada poco alargadas, punta redondeada, gruesas y aplanadas, con semillas numerosas en forma de riñon ",Pardo-amarillo,Enero-abril (mayo),Gris plomiza a gris parda oscura,Externa lisa cuando joven y fisurada cuando vieja,"Habitat de climas calidos, semicalidos y templado, desde el nivel del mar hasta los 2000 m.",Pleno sol a sombra parcial,Bajo,Rápido,Semicaducifolio,Desde el suroeste de Estados Unidos hasta Sudamérica,Refugio y alimento para especies silvestres,"Su madera es dura y pesada, principalmente se utiliza para leña, aunque también se utiliza para herramientas agrícolas, postes y artesanías. Es cultivado en Argelia, en el sur de Francia, en la India e Italia para aprovechar su flor de aroma particular; se extrae una esencia para fabricar aceites y pomadas (3).  Se ha usado para fabricar embarcaciones, producción de colorantes, curtido y teñido de cueros, producción de insecticida, antiparásito y antídoto contra venenos, además de una amplia aplicación medicinal (4).","La flor es muy aromática. No se encontraron estudios de la evaluación toxicológica de esta planta. Sin embargo, existen reportes de intoxicaciones severas en el ganado por parte de dos especies relacionadas: Acacia greggi y Acacia berlandieri. Las semillas, que contienen un alcaloide sin nombre, se usan para matar perros rabiosos en Brasil.","Durante los primeros 2 años de haber establecido la plantación se recomienda realizar deshierbes alrededor de las plantas, en un radio de 20 cm alrededor de la cepa, por lo menos 1 vez al año; esto preferentemente una o dos semanas posterior al inicio de la temporada lluviosa",Para dar forma,Moderado,"La aplicación de fertilizantes de liberación lenta (picomódulos) es opcional, su efecto solamente será evidente a partir de los 120 días de edad, ya que esta especie presenta nódulos fijadores de nitrógeno activos desde los 30 días de su establecimiento","Es atacada por coleópteros, Oncideres pustulatus (Cerambicidae) y Mimosestes nubigens (Bruchidae); y hongos patógenos como Ravenelia spegazziniana ","Acacia cornigera, A. cochliacantha, Caesalpinia sp., Yucca filifera, Opuntia sp., Cassia pringlei, Prosopis sp","Semillas y estructuras vegetativas, estacas","Utilizar vehículos cerrados y trasladar las plantas debidamente cubiertas, para protegerlas del aire e insolación, y con ello evitar su deshidratación",Profundas: Las raíces crecen de manera vertical y toman el agua del subsuelo,-,
,,https://pfaf.org/USER/Plant.aspx?LatinName=Acacia+farnesiana,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/38-legum4m.pdf,3. https://www.elsiglodedurango.com.mx/noticia/109485.arbol-mitologico-mexicano.html,4. https://hablemosdeflores.com/la-acacia-farnesiana/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Palo blanco, palo liso, guinola",White barked acacia,Fabaceae,Acacia willardiana (Mariosousa willardiana) Fecha de conversión: 2019-05-01,Árbol,"Abierto cuando joven, toma una forma colgante cuando adulto",6.00-8.00 m,3.00-4.00 m,0.07 m- 0.27 m,"Compuestas: paripinnadas. Árbol con pocas hojas, el raquis peciolar es característicamente largo y funciona como un cladófilo. Las hojas tienen 5-6 folíolos al final.",Foliolos con margen entero,Verde claro,Espigas cilíndricas,Amarillo claro,Marzo-junio,Vaina aplanada,Marron,Junio-septiembre,Blanco,Fina y exfoliante," Bajadas rocosas, laderas y arroyos, también cerca del Mar de Cortés (Golfo de California) de 0 a 670 m de elevación. Crece bien en hábitats cálidos, en lugares soleados con bajas cantidades de agua.",Pleno sol ,Bajo ,Lento a moderaado,Caducifolio en invierno (diciembre-marzo),Nativa de Sonora,"Esta especie es normalmente dominante en colinas con suelos rocosos, asociada a Agave angustifolia, Ambrosia cordifolia, Bursera sp., Croton sonorae, Hechtia montana, Ipomea arborescens y J. cordata (2).",Se usa como acento en áreas de entrada y patios o para proyectar sombras contra una pared o un edificio.  La madera de Palo blanco fue utilizada a menudo  por los indios Seri del norte de México para material de construcción debido a su tronco característicamente recto y mínimamente ramificado,"Es cultivada en Arizona y California, donde es común encontrarla en viveros y enlistada en catálogos de esas áreas (1). La cremosa corteza exfoliante blanca es su característica más distintiva.","Necesita un apilamiento cuidadoso para el soporte del tronco a medida que madura. Considere usar coberturas en lugar de arbustos debajo de él para que la corteza blanca única y descascarada del árbol se pueda exhibir y apreciar. Para desarrollar un sistema radicular saludable, se logra regando a lo largo del borde del dosel y no en la base del tronco.","Eliminar los retoños basales no deseados. Para alentar y preservar la belleza del carácter del tronco de palo blanco, entrenar rigurosamente estructuralmente cuando es joven para evitar tener que hacer cortes de poda desagradables cuando el árbol envejece.","Requiere agua dos veces al mes. El riego periódico en verano ayudará a reducir el estrés por sequía y a reducir la pérdida de hojas. Poco o nada de agua se necesita una vez establecido, aunque el agua suplementaria en verano y principios de otoño fomentará el crecimiento y la densidad del dosel.",Fertilizante de magnesio suplementario,Ninguna,"Su forma aireada es ideal para subplantas perennes, agaves, yucas y áloes, suculentas en general.",Semilla,"Cavar un agujero tres veces más ancho que el cepellón para ayudar a crecer las raíces. Lo mejor es un suelo rocoso o arenoso, poroso y bien drenado.",Mediamente profundas,-,
,,http://www.mswn.com/media/info_sheets/acacia_willardiana.pdf,https://inlandvalleygardenplanner.org/plants/acacia-willardiana/,http://www.public.asu.edu/~camartin/plants/Plant%20html%20files/mariosousawillardiana.html,http://www.aridzonetrees.com/acacia-willardiana.html,https://www.civanonursery.com/plant-catalog/palo-blanco-acacia-willardiana/,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=10,"Vegetation and Flora of the Sonoran Desert, Volume 1",https://wateruseitwisely.com/plant-of-the-month-acacia/,https://delange.org/PaloBlanco/PaloBlanco.htm,1. https://onlinelibrary.wiley.com/doi/pdf/10.1002/tax.574031,2. Búrquez et.al. 1999. Vegetation and Habitat Diversity at the Southern Edge of the Sonoran Desert. U. of A. Press. http://wildsonora.com/sites/default/files/reports/vegetation-and-habitat-diversity-at-the-southern-edge-of-the-sonoran-desert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Palo joso,"Sinaloan albizia, sinaloan silk tree",Fabaceae,Albizia sinaloensis,Árbol,Abierta a extendida,Hasta 15.00 m,4.00 - 8.00 m,0.5 m,Compuestas: paripinnadas,Foliolos con margen entero,Verde obscuro,Las inflorescencias son cabezas globulares en panículas axilares o apicales.,Crema-amarillo,Mayo,Vaina,Café,Diciembre,Amarillo pálido,Lisa,"Márgenes de arroyos, canales de irrigación. En suelos aluviales profundos de valles fluviales por debajo de 200 m, a lo largo del piedemonte Oeste de la Sierra Madre Occidental entre los ríos Yaqui y Fuerte,  en el sur Sonora y norte de Sinaloa (latitud 26 ° 20'-27 ° 30'N)",Pleno sol,Moderado,Rápido,Perennifolio,Nativo del norte de México,"Parte importante de la dieta de vida silvestre donde se distribuye. 
Las especies de Albizia son alimento de larvas de algunas polillas del género Endoclita incluyendo a E. damor, E. malabaricus y E. sericeus."," La corteza se ha utilizado como fuente para el curtido del cuero, también se utiliza para dar sombra, y con fines ornamentales. ", 1. La germinación de las semillas requiere escarificación y remojo en agua o una toalla húmeda durante una noche. , Prácticamente no requiere cuidados.,"Retire los retoños a menudo, esos brotes que emergen en la base del árbol. Espera al final de la floración. Trate de mantener su forma de paraguas.","Abundantes pero sin excesos, teniendo cuidado de no estancar el agua. Reducir en invierno",Puede agregar abono granulado de flores o arbustos en primavera. Tambien puede usar fertilizante líquido cuando comienza a florecer,"Puede verse afectado por Scytalidium dimidiatum, ","Se puede combinar con muchos arbustos, hierbas y cactus nativos del desierto de California y Baja California. ",Semilla,Evitar trasplantes frecuentes. El terreno ideal es uno con sustrato fértil. Agrega arena gruesa para un buen drenaje y que no haya encharcamientos,Superficiales: Tienen raíces laterales superficiales haciéndolas susceptibles. Puede levantar banquetas!,,
,,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=502,https://davesgarden.com/guides/pf/go/183899/#b,http://www.horticopia.com/hortpip/Plants/html/016/P00716.shtml,http://rslandscapedesign.blogspot.com/2010/06/albizia.html,https://books.google.com.mx/books?id=2_YXlFAj458C&pg=PA329&lpg=PA329&dq=albizia+sinaloensis+flower&source=bl&ots=Z00FtwjjSY&sig=aYgnpQs4QOff3TvUI-lxDNagIs4&hl=es&sa=X&ved=2ahUKEwiO54Ps4ondAhXly4MKHT1-Dd4Q6AEwDnoECAEQAQ#v=onepage&q=albizia%20sinaloensis%20flower&f=true,,https://www.nature-and-garden.com/gardening/albizia-silk-tree.html,http://sweetgum.nybg.org/science/world-flora/details.php?irn=14697,0.4 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Cascalote,Thorness cascalote,Fabaceae,Caesalpinia cacalaco,Árbol mediano,Redondeada y densa,6.00 - 15.00 m,7.00 m,0.4 m,Compuesta; bipinnada y espiral,Foliolos con margen entero,Verde obscuro,Racimos axilares o terminales,Amarillos con un estandarte amarillo a naranja,Otoño-invierno,Vaina,Rojizo,Invierno,Marron-gris,Con espinas gruesas,"Suelo bien drenante, bosque tropical caducifolio, bosque tropical subperennifolio",Pleno sol,Bajo a moderado,Rápido,Semicaducifolio,México,"Se asocia con Acacia farnesiana, Acacia cochliacantha, Acacia pennatula, Lysiloma spp., Pithecellobium dulce, Guazuma ulmifolia, Cochlospermum vitifolium, Enterolobium cyclocarpum, Zanthoxylum spp., Senna atomaria, Parkinsonia spp., Tabebuia chrysantha, T. palmeri, Plumeria rubra y Sapium sp., para formar el estrato arbóreo de los bosques espinosos (1). ","Lo ocupan para horcones, vigas y leña.","Se debe evitar el riego excesivo. 
Se adapta fácilmente a suelos desérticos.",Se adapta fácilmente a suelos desérticos,Regular para dar forma y reforzar la estructura,Moderado,No necesaria," Inspeccione los árboles durante la temporada de crecimiento para insectos comunes que chupen el jardín, como áfidos, trips (insectos del Orden Thysanoptera), moscas blancas o psílidos.","Ziziphus mexicana, Cytocarpa procera, Thervetia ovata, Hauya rusby",Semillas, Plantar en un sitio soleado y bien drenado. ,Profunda,-,
,,http://www.arbolesornamentales.es/Caesalpinia%20cacalaco.pdf,https://www.civanonursery.com/plant-catalog/cascalote-caesalpinia-cacalaco/,http://www.aridzonetrees.com/assets/cacac-09.pdf,,http://www.verarboles.com/Tihuixtle/tihuixtle.html#,1. CONABIO 2017. La biodiversidad en Durango estudio de estado. https://www.biodiversitylibrary.org/item/246175#page/3/mode/1up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Alejo, arellano, palo colorado, hueilaqui",Cascalote,Fabaceae,Caesalpinia platyloba,Árbol,Irregular,5.00-15.00 m,6.00-9.00 m,Hasta 0.50 m,"Compuestas: bipinnadas, paripinnadas. Foliolos  oblongo-ovados a elípticos",Entero,Verde oscuro,En racimos terminales,Amarillo,Julio-septiembre,Vaina aplanada,"Verde cuando joven, marrón rojizo cuando está seco",Agosto-diciembre,Marrón claro,Rugosa,"Crece sólo en bosques secos, deciduos, en la línea de costa sobre terreno arenoso. Bosque tropical caducifolio del sur de Sonora",Pleno sol,Moderado,Rápido,Caducifolio,De México a Costa Rica,Las flores son visitadas por abejas y abejorros.,"La madera dura se utiliza para postes de las cercas, ornamental, para dar sombra",Los árboles más grandes son difíciles  de encontrar debido a la sobreexplotación.,"Una vez que finaliza la floración, los tallos de las flores se pueden quitar para evitar que se formen vainas de semillas y para reducir la probabilidad de que haya plántulas voluntarias. Cubrir la base de la planta en áreas más frías puede proteger la corona de la planta hasta la primavera.","Cuando se cultiva como un arbusto, la poda solo es necesaria para eliminar las extremidades dañadas por la escarcha o para eliminar ramas muertas, que se cruzan o dañadas. Se necesitará más poda si se va a desarrollar y mantener como un árbol pequeño.",Cada mes una vez establecido; riegue todas las semanas durante la primavera y el verano para obtener flores continuas.,Responde muy bien a la aplicaciòn de micorrizas y rizhobium.,Puede desarrollar pudricion en las raices,Especies perennes o  suculentas,Semillas,"Se hace de manera diferente dependiendo del tamaño y la flexibilidad del árbol, y la ventosidad del sitio de plantación.",Mediamente profundas,-,
,,https://mora7.wordpress.com/2010/07/10/palo-colorado-caesalpinia-platyloba/,http://www.tropicaltimber.info/es/specie/chakte-viga-caesalpinia-platyloba/#lower-content,https://www.desertmuseum.org/programs/alamos_trees_caepla.php,https://books.google.com.mx/books?id=IbKmK2_Tn74C&pg=PA136&lpg=PA136&dq=caesalpinia+platyloba&source=bl&ots=Z1zs3GY-Mm&sig=8E9mWi4xKmVZJJsGBQGRkxYsHC0&hl=es&sa=X&ved=2ahUKEwjmipWZjfDdAhUMoYMKHbOOATc4HhDoATAFegQIBhAB#v=onepage&q&f=true,https://www.naturalista.mx/taxa/290301-Caesalpinia-platyloba,https://extension.arizona.edu/sites/extension.arizona.edu/files/pubs/az1634-2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
